Date,Amount,Item,Category,Split,Not Me
2024-04-04,25,maggie,food,2,0
2024-04-05,60,mogu-mogu,food,2,0
2024-04-05,40,ocean,food,2,0
2024-04-05,1224,brindavan,utility,1,0
2024-04-05,117,flowers,utility,1,0
2024-04-05,27,curd,utility,1,0
2024-04-06,90,honey-chilli,food,2,0
2024-04-06,60,ocean,food,2,0
2024-04-06,203,vegetables,utility,1,0
2024-04-06,180,pasta,utility,1,0
2024-04-07,166,tamarind,utility,1,0
2024-04-07,50,haircut,utility,1,0
2024-04-07,250,petrol,travel,1,0
2024-04-07,180,stationery,utility,1,0
2024-04-07,26,vada,utility,1,0
2024-04-08,25,tea,food,2,1
2024-04-08,1000,advance,me,3,1
2024-04-09,180,cake,food,2,0
2024-04-10,42,auto,travel,1,0
2024-04-10,45,chocolate,food,1,0
2024-04-10,70,m,food,1,1
2024-04-12,130,flowers,utility,1,0
2024-04-12,50,brownie,food,2,0
2024-04-12,10,rasna,food,2,0
2024-04-14,230,tea,food,2,0
2024-04-15,20,juice,food,2,0
2024-04-15,40,oreo,food,2,0
2024-04-15,150,recharge,utility,1,0
2024-04-16,20,tea,food,1,1
2024-04-16,25,maggie,food,2,0
2024-04-16,187,vegetables,utility,1,0
2024-04-16,81,vegetables,utility,1,0
2024-04-16,98,vegetables,utility,1,0
2024-04-17,70,mogu-mogu,food,2,0
2024-04-17,20,fruitpop,food,1,1
2024-04-18,20,fruitpop,food,1,1
2024-04-18,70,oreo-shake,food,2,0
2024-04-18,60,sabeena,utility,1,0
2024-04-19,70,oreo,food,1,1
2024-04-19,80,fruitchill,food,1.5,1
2024-04-20,190,frappe,food,2,0
2024-04-21,170,breakfast,utility,1,0
2024-04-21,65,vegetable,utility,1,0
2024-04-21,20,Gatorade,food,1,0
2024-04-22,40,juice,food,1,1
2024-04-22,80,juice,food,2,0
2024-04-22,150,vegetables,utility,1,0
2024-04-23,15,gonemad,food,2,0
2024-04-23,40,fruitchill,food,2,0
2024-04-23,90,brindavan,utility,1,0
2024-04-23,24,milk,utility,1,0
2024-04-24,80,honey-chilli,food,2,0
2024-04-24,20,fruitchill,food,2,0
2024-04-24,120,paneer,utility,1,0
2024-04-24,100,petrol,travel,1,0
2024-04-25,80,honey-chilli,food,2,0
2024-04-25,50,shake,food,2,0
2024-04-25,40,ocean,food,2,0
2024-04-25,10,tea,food,1,1
Refill,refill,refill,refill,refill,refill
2024-04-25,50,vegetables,utility,1,0
2024-04-25,77,vegetables,utility,1,0
2024-04-26,60,entry,utility,1,0
2024-04-26,510,ice-cream,utility,1,0
2024-04-27,300,petrol,travel,1,0
2024-04-27,20,fruitchill,food,2,0
2024-04-28,188,breakfast,utility,1,0
2024-04-29,30,pen,utility,1,0
2024-04-30,595,ration,utility,1,0
2024-05-01,46,milk,utility,1,0
Refill,refill,refill,refill,refill,refill
2024-05-03,135,vegetables,utility,1,0
2024-05-03,250,petrol,travel,1,0
2024-05-04,40,maggie,food,2,0
2024-05-04,300,petrol,travel,2,0
2024-05-05,110,dosa,utility,1,0
2024-05-05,130,vegetables,utility,1,0
2024-05-05,150,recharge,utility,1,0
2024-05-06,80,honey-chilli,food,2,0
2024-05-06,60,ocean,food,2,0
2024-05-06,336,food,food,2,0
2024-05-07,147,vegetables,utility,1,0
2024-05-08,80,vegetables,utility,1,0
2024-05-08,52,milk,utility,1,0
2024-05-09,150,haircut,utility,1,0
2024-05-09,913,grocery,utility,1,0
2024-05-09,27,curd,utility,1,0
2024-05-10,50,milk,utility,1,0
2024-05-11,50,milk,utility,1,0
2024-05-11,200,petrol,travel,1,0
2024-05-12,160,breakfast,utility,1,0
2024-05-13,20,juice,food,2,0
2024-05-13,60,chocos,food,1,0
2024-05-14,27,curd,utility,1,0
2024-05-15,35,chocolate,food,1,1
2024-05-15,40,oreo,food,2,0
2024-05-15,656,pizza,food,1,0
2024-05-16,30,chocos,utility,1,0
2024-05-17,30,chocolate,food,2,0
